SoftLabels,GlobalSmoothing,ProtectionMethod,VarianceScaling,Jaccard,F1,Precision,Recall
True,-,No Protection,True,0.5701 ± 0.005,0.6593 ± 0.006,0.6815 ± 0.014,0.6551 ± 0.005
True,-,No Protection,False,0.5637 ± 0.009,0.6525 ± 0.010,0.6730 ± 0.016,0.6460 ± 0.009
True,-,Max,True,0.5651 ± 0.004,0.6550 ± 0.004,0.6806 ± 0.008,0.6491 ± 0.003
True,-,Max,False,0.5723 ± 0.003,0.6622 ± 0.004,0.6812 ± 0.001,0.6579 ± 0.007
True,-,Kernel Half,True,0.5760 ± 0.004,0.6652 ± 0.005,0.6915 ± 0.013,0.6575 ± 0.005
True,-,Kernel Half,False,0.5736 ± 0.002,0.6625 ± 0.001,0.6802 ± 0.003,0.6567 ± 0.005
True,-,Half,True,0.5645 ± 0.010,0.6548 ± 0.010,0.6804 ± 0.019,0.6512 ± 0.006
True,-,Half,False,0.5627 ± 0.007,0.6517 ± 0.006,0.6819 ± 0.004,0.6450 ± 0.004
False,0.2,-,-,0.5773 ± 0.002,0.6638 ± 0.002,0.6804 ± 0.003,0.6586 ± 0.005
False,0.1,-,-,0.5793 ± 0.001,0.6667 ± 0.001,0.6840 ± 0.005,0.6611 ± 0.002
False,0.0,-,-,0.5782 ± 0.010,0.6676 ± 0.011,0.6928 ± 0.015,0.6598 ± 0.011
